k,adjustedAlpha
10,0.0018504229538180144
11,9.398973733368622E-4
12,9.398937225341796E-4
13,9.338378906249999E-4
14,9.39178466796875E-4
15,7.636666158614036E-4
16,3.519058227539062E-4
17,4.295624714220395E-4
18,3.818333079307018E-4
19,3.8183330793069975E-4
20,3.414470858842833E-4
21,3.1322263541190304E-4
22,2.9201476019835576E-4
23,3.341041444393637E-4
24,2.961952239274978E-4
25,1.5642798416592993E-4
26,1.5639283093459876E-4
27,1.5404634905280543E-4
28,1.66819019663572E-4
29,1.4600738009917788E-4
30,1.461705631922218E-4
31,1.2744900758141495E-4
32,1.461705631922218E-4
33,1.3681505067903382E-4
34,1.517172140275657E-4
35,1.3703490299270794E-4
36,1.0680739542294758E-4
37,1.1011733276199744E-4
38,1.1341648300943029E-4
39,9.595854207873343E-5
40,1.0938321721023792E-4
41,8.368917289911807E-5
42,1.0947498165421899E-4
43,9.381864219903943E-5
44,7.455558602487142E-5
45,6.182261276990177E-5
46,6.35949524541157E-5
47,5.3220470590531456E-5
48,6.607039965719846E-5
49,5.887653969693932E-5
50,6.037484854459764E-5
51,6.0672069476873986E-5
52,5.4813961197083175E-5
53,5.2634055282391435E-5
54,5.269286430994018E-5
55,4.496457754447699E-5
56,4.7664254711441835E-5
57,4.8055892250664886E-5
58,4.4948434606340015E-5
59,4.0526711381971835E-5
60,4.212478893277861E-5
61,3.8634491829725434E-5
62,4.949749527890006E-5
63,4.236009881424253E-5
64,4.130308516323566E-5
65,3.849805111863676E-5
66,3.344813982645672E-5
67,4.111047089781227E-5
68,2.6490514205817586E-5
69,3.590139349765388E-5
70,2.8454146727367705E-5
71,3.12796671551404E-5
72,2.6557203612209853E-5
73,2.7068934146194625E-5
74,2.619588111408455E-5
75,2.7099187359397805E-5
76,2.7540803745995334E-5
77,2.9508003792730598E-5
78,2.9508004013529566E-5
79,2.54054881494353E-5
80,2.647977736237824E-5
81,2.3237553160683625E-5
82,2.6631948703368532E-5
83,1.9917902709102346E-5
84,1.991790270915734E-5
85,2.0715975761695304E-5
86,2.8905799850024333E-5
87,2.290386390946252E-5
88,1.9033942294299777E-5
89,2.0646997436757353E-5
90,1.8489797366783026E-5
91,1.774281263351441E-5
92,1.9511414898766422E-5
93,1.975982411622757E-5
94,2.0130824895552657E-5
95,1.896943115157847E-5
96,1.8066124906265204E-5
97,1.9249025941159202E-5
98,1.6644566817825E-5
99,1.4938427031868044E-5
