k,alphaC,alpha,iterations,stepsize,time
10,0.0171875,0.05,3,1,0.157537223
10,0.01640625,0.05,3,2,0.101884719
10,0.015625,0.05,3,3,0.062294148
10,0.015625,0.05,3,4,0.085427683
10,0.015625,0.05,3,5,0.066877649
10,0.015625,0.05,3,6,0.062978594
10,0.015625,0.05,3,7,0.066478639
10,0.015625,0.05,3,8,0.066240075
10,0.015625,0.05,3,9,0.05963719
10,0.0171875,0.05,3,10,0.087155621
10,0.015625,0.05,4,1,0.070137328
10,0.015625,0.05,4,2,0.070323612
10,0.015625,0.05,4,3,0.049618087
10,0.015625,0.05,4,4,0.062010815
10,0.015625,0.05,4,5,0.060731762
10,0.015625,0.05,4,6,0.047899161
10,0.01640625,0.05,4,7,0.072562332
10,0.015625,0.05,4,8,0.049357589
10,0.015625,0.05,4,9,0.052531036
10,0.015625,0.05,4,10,0.051634166
10,0.015625,0.05,5,1,0.049905625
10,0.015625,0.05,5,2,0.053678789
10,0.015625,0.05,5,3,0.048930336
10,0.015625,0.05,5,4,0.061862088
10,0.015625,0.05,5,5,0.047068993
10,0.01640625,0.05,5,6,0.072243244
10,0.01640625,0.05,5,7,0.070049293
10,0.01640625,0.05,5,8,0.071737872
10,0.015625,0.05,5,9,0.062535117
10,0.015625,0.05,5,10,0.048132617
10,0.015625,0.05,6,1,0.049466956
10,0.015625,0.05,6,2,0.063102984
10,0.015625,0.05,6,3,0.050521567
10,0.015625,0.05,6,4,0.04774833
10,0.015625,0.05,6,5,0.049002447
10,0.0171875,0.05,6,6,0.059317501
10,0.015625,0.05,6,7,0.060971829
10,0.01640625,0.05,6,8,0.068839044
10,0.0171875,0.05,6,9,0.062372568
10,0.015625,0.05,6,10,0.063002029
10,0.015625,0.05,7,1,0.053606679
10,0.015625,0.05,7,2,0.050359319
10,0.015625,0.05,7,3,0.049216072
10,0.01640625,0.05,7,4,0.070262318
10,0.01640625,0.05,7,5,0.070512301
10,0.015625,0.05,7,6,0.047134193
10,0.015625,0.05,7,7,0.048927632
10,0.015625,0.05,7,8,0.047593895
10,0.015625,0.05,7,9,0.047613725
10,0.016015625,0.05,7,10,0.086729571
10,0.0171875,0.05,8,1,0.059962587
10,0.015625,0.05,8,2,0.047877528
10,0.015625,0.05,8,3,0.047529297
10,0.01640625,0.05,8,4,0.070428773
10,0.015625,0.05,8,5,0.04882157
10,0.01640625,0.05,8,6,0.069898763
10,0.01640625,0.05,8,7,0.071138156
10,0.0171875,0.05,8,8,0.062697965
10,0.0171875,0.05,8,9,0.059256808
10,0.015625,0.05,8,10,0.047980886
10,0.015625,0.05,9,1,0.05879951
10,0.015625,0.05,9,2,0.05888484
10,0.015625,0.05,9,3,0.060706824
10,0.01640625,0.05,9,4,0.069138903
10,0.015625,0.05,9,5,0.057500326
10,0.0171875,0.05,9,6,0.060105605
10,0.015625,0.05,9,7,0.061229622
10,0.015625,0.05,9,8,0.04884741
10,0.015625,0.05,9,9,0.047406709
10,0.015625,0.05,9,10,0.049956103
10,0.015625,0.05,10,1,0.048045485
10,0.015625,0.05,10,2,0.058660097
10,0.015625,0.05,10,3,0.049970826
10,0.015625,0.05,10,4,0.049394846
10,0.015625,0.05,10,5,0.059099368
10,0.015625,0.05,10,6,0.048718212
10,0.015625,0.05,10,7,0.059116494
10,0.01640625,0.05,10,8,0.071444624
10,0.015625,0.05,10,9,0.051402812
10,0.015625,0.05,10,10,0.047346316
10,0.015625,0.05,11,1,0.057693521
10,0.015625,0.05,11,2,0.061003076
10,0.01640625,0.05,11,3,0.080902471
10,0.01640625,0.05,11,4,0.075150185
10,0.015625,0.05,11,5,0.052342949
10,0.015625,0.05,11,6,0.054802205
10,0.015625,0.05,11,7,0.055098457
10,0.015625,0.05,11,8,0.050581057
10,0.0171875,0.05,11,9,0.061851272
10,0.015625,0.05,11,10,0.049564305
10,0.0171875,0.05,12,1,0.05868113
10,0.015625,0.05,12,2,0.048927332
10,0.01640625,0.05,12,3,0.069503059
10,0.016015625,0.05,12,4,0.089804467
10,0.0171875,0.05,12,5,0.058644774
10,0.015625,0.05,12,6,0.048887971
10,0.015625,0.05,12,7,0.050079892
10,0.0171875,0.05,12,8,0.084841487
10,0.015625,0.05,12,9,0.050150199
10,0.015625,0.05,12,10,0.049669765
10,0.015625,0.05,13,1,0.051600514
10,0.015625,0.05,13,2,0.050108736
10,0.0171875,0.05,13,3,0.061561329
10,0.01640625,0.05,13,4,0.078653535
10,0.01640625,0.05,13,5,0.076344208
10,0.015625,0.05,13,6,0.060637117
10,0.015625,0.05,13,7,0.050304034
10,0.015625,0.05,13,8,0.049611476
10,0.015625,0.05,13,9,0.060830312
10,0.015625,0.05,13,10,0.063124317
10,0.015625,0.05,14,1,0.061310146
10,0.015625,0.05,14,2,0.050398379
10,0.015625,0.05,14,3,0.051472519
10,0.015625,0.05,14,4,0.050370435
10,0.015625,0.05,14,5,0.050731287
10,0.015625,0.05,14,6,0.049954601
10,0.015625,0.05,14,7,0.061890031
10,0.015625,0.05,14,8,0.052131425
10,0.015625,0.05,14,9,0.052814369
10,0.015625,0.05,14,10,0.05548034
10,0.015625,0.05,15,1,0.054987287
10,0.015625,0.05,15,2,0.062135806
10,0.015625,0.05,15,3,0.05572822
10,0.015625,0.05,15,4,0.052111295
10,0.015625,0.05,15,5,0.054608109
10,0.01640625,0.05,15,6,0.073665316
10,0.015625,0.05,15,7,0.048810453
10,0.015625,0.05,15,8,0.04977733
10,0.01640625,0.05,15,9,0.074948877
10,0.015625,0.05,15,10,0.066369272
10,0.015625,0.05,16,1,0.054496338
10,0.015625,0.05,16,2,0.064447537
10,0.015625,0.05,16,3,0.052897596
10,0.015625,0.05,16,4,0.05031455
10,0.015625,0.05,16,5,0.067827099
10,0.015625,0.05,16,6,0.05308388
10,0.015625,0.05,16,7,0.054309453
10,0.01640625,0.05,16,8,0.078838318
10,0.015625,0.05,16,9,0.050645056
10,0.015625,0.05,16,10,0.055321398
10,0.01640625,0.05,17,1,0.074768302
10,0.015625,0.05,17,2,0.053206467
10,0.0171875,0.05,17,3,0.066033359
10,0.0171875,0.05,17,4,0.06782109
10,0.015625,0.05,17,5,0.057701033
10,0.015625,0.05,17,6,0.05507382
10,0.01640625,0.05,17,7,0.079177836
10,0.015625,0.05,17,8,0.054132782
10,0.01640625,0.05,17,9,0.075968334
10,0.015625,0.05,17,10,0.051765467
10,0.015625,0.05,18,1,0.051572572
10,0.015625,0.05,18,2,0.062189889
10,0.015625,0.05,18,3,0.063441601
10,0.015625,0.05,18,4,0.050294119
10,0.0171875,0.05,18,5,0.064017881
10,0.015625,0.05,18,6,0.060634113
10,0.015625,0.05,18,7,0.067174202
10,0.015625,0.05,18,8,0.050132773
10,0.015625,0.05,18,9,0.062056786
10,0.015625,0.05,18,10,0.055253494
10,0.015625,0.05,19,1,0.056156373
10,0.015625,0.05,19,2,0.068452054
10,0.0171875,0.05,19,3,0.067516424
10,0.015625,0.05,19,4,0.055444887
10,0.015625,0.05,19,5,0.053250935
10,0.0171875,0.05,19,6,0.071508622
10,0.015625,0.05,19,7,0.068928281
10,0.015625,0.05,19,8,0.052793937
10,0.015625,0.05,19,9,0.053726562
10,0.015625,0.05,19,10,0.065789086
10,0.015625,0.05,20,1,0.052148252
10,0.015625,0.05,20,2,0.052464634
10,0.015625,0.05,20,3,0.050652867
10,0.015625,0.05,20,4,0.065532194
10,0.015625,0.05,20,5,0.053685399
10,0.0171875,0.05,20,6,0.063878168
10,0.0171875,0.05,20,7,0.062227746
10,0.015625,0.05,20,8,0.052163574
10,0.015625,0.05,20,9,0.064034106
10,0.015625,0.05,20,10,0.052676458
10,0.029296875,0.1,3,1,0.096564493
10,0.02890625,0.1,3,2,0.085780421
10,0.029296875,0.1,3,3,0.096229481
10,0.029589843749999997,0.1,3,4,0.129318421
10,0.02890625,0.1,3,5,0.085987137
10,0.029296875,0.1,3,6,0.108692517
10,0.02890625,0.1,3,7,0.092322914
10,0.02890625,0.1,3,8,0.102002799
10,0.029296875,0.1,3,9,0.107573007
10,0.02890625,0.1,3,10,0.085833903
10,0.029595947265625,0.1,4,1,0.165911012
10,0.028125,0.1,4,2,0.063882073
10,0.0294921875,0.1,4,3,0.112821123
10,0.029296875,0.1,4,4,0.107463039
10,0.029296875,0.1,4,5,0.101891328
10,0.02890625,0.1,4,6,0.087948833
10,0.029296875,0.1,4,7,0.104096096
10,0.02890625,0.1,4,8,0.09421941
10,0.02890625,0.1,4,9,0.091237656
10,0.029296875,0.1,4,10,0.105790384
10,0.02890625,0.1,5,1,0.102538217
10,0.02890625,0.1,5,2,0.089863658
10,0.02890625,0.1,5,3,0.102067999
10,0.029296875,0.1,5,4,0.102565559
10,0.02890625,0.1,5,5,0.089436706
10,0.029296875,0.1,5,6,0.101408792
10,0.02890625,0.1,5,7,0.088143831
10,0.02890625,0.1,5,8,0.093653346
10,0.02890625,0.1,5,9,0.09128573
10,0.029296875,0.1,5,10,0.101674397
10,0.02890625,0.1,6,1,0.085644614
10,0.02890625,0.1,6,2,0.086288197
10,0.029296875,0.1,6,3,0.097663571
10,0.029296875,0.1,6,4,0.095772182
10,0.0294921875,0.1,6,5,0.11175209
10,0.02890625,0.1,6,6,0.100291084
10,0.029296875,0.1,6,7,0.109756142
10,0.02890625,0.1,6,8,0.087971368
10,0.02890625,0.1,6,9,0.095337718
10,0.02890625,0.1,6,10,0.102864215
10,0.0296875,0.1,7,1,0.087713273
10,0.028125,0.1,7,2,0.074286966
10,0.02890625,0.1,7,3,0.086402972
10,0.02890625,0.1,7,4,0.08909899
10,0.02890625,0.1,7,5,0.09327657
10,0.02890625,0.1,7,6,0.090689019
10,0.02890625,0.1,7,7,0.102471815
10,0.02890625,0.1,7,8,0.095200409
10,0.029296875,0.1,7,9,0.108998384
10,0.0294921875,0.1,7,10,0.127531291
10,0.02890625,0.1,8,1,0.09235957
10,0.029296875,0.1,8,2,0.101263671
10,0.0294921875,0.1,8,3,0.114051202
10,0.029589843749999997,0.1,8,4,0.12383835
10,0.0294921875,0.1,8,5,0.113135703
10,0.02890625,0.1,8,6,0.09040208
