k,alphaC,alpha,iterations,stepsize,time
50,0.004945029728564806,0.1,3,1,2.030532034
50,0.0060697914035576965,0.1,3,2,0.968779013
50,0.005749845337992003,0.1,3,3,1.099206428
50,0.005465986651175432,0.1,3,4,1.308953496
50,0.004929449220804695,0.1,3,5,1.487265349
50,0.005441128498964805,0.1,3,6,2.5290691
50,0.005784026225538953,0.1,3,7,1.898308176
50,0.005453123282884286,0.1,3,8,2.244794999
50,0.005403238960319599,0.1,3,9,2.075550696
50,0.005205165610437204,0.1,3,10,2.333266932
50,0.0056179529727905,0.1,4,1,2.040565259
50,0.00561282056622741,0.1,4,2,1.514207801
50,0.005082516624651313,0.1,4,3,1.522472825
50,0.004826862416187946,0.1,4,4,1.122413274
50,0.00542067344509874,0.1,4,5,2.173690796
50,0.005178250900374291,0.1,4,6,1.904249451
50,0.005875112021555179,0.1,4,7,2.190828371
50,0.005809243609686786,0.1,4,8,1.825084534
50,0.005405538999219108,0.1,4,9,2.291562933
50,0.006097412109375,0.1,4,10,0.616655579
50,0.005269219661676085,0.1,5,1,2.714493417
50,0.005192453808631194,0.1,5,2,1.201495564
50,0.005884685959308106,0.1,5,3,2.288400904
50,0.005433940922348021,0.1,5,4,2.067184717
50,0.004983914342636548,0.1,5,5,2.382331573
50,0.005604068677948426,0.1,5,6,1.931162157
50,0.005321115665312922,0.1,5,7,2.242624785
50,0.006520843505859375,0.1,5,8,1.124825058
50,0.004766977972935859,0.1,5,9,3.239061944
50,0.004816532135009766,0.1,5,10,2.231001833
50,0.005872998734695263,0.1,6,1,1.70480512
50,0.005974703125708126,0.1,6,2,2.97480021
50,0.005526145009531882,0.1,6,3,4.212013129
50,0.005932115925360602,0.1,6,4,3.930924194
50,0.005244586562168484,0.1,6,5,3.775188523
50,0.005302537961521122,0.1,6,6,4.586031604
50,0.004814080320026852,0.1,6,7,3.815121617
50,0.004707276821136475,0.1,6,8,2.705329119
50,0.005523024826088073,0.1,6,9,3.860878505
50,0.005069375038146973,0.1,6,10,2.970385567
50,0.005527196383019489,0.1,7,1,1.256034567
50,0.005594333573922254,0.1,7,2,2.63907282
50,0.005077778501708555,0.1,7,3,2.602866017
50,0.0054015064120920995,0.1,7,4,1.86640695
50,0.005586540292694179,0.1,7,5,3.238508498
50,0.00526244245283356,0.1,7,6,3.467463303
50,0.005547664265769433,0.1,7,7,3.155432808
50,0.004890632629394532,0.1,7,8,2.138803909
50,0.004819453730096118,0.1,7,9,3.101450555
50,0.004881620407104492,0.1,7,10,1.970189668
50,0.005206807169463081,0.1,8,1,1.469805981
50,0.005202782564640951,0.1,8,2,2.371558018
50,0.004795923008925946,0.1,8,3,2.844714416
50,0.005098477083208973,0.1,8,4,3.117411835
50,0.006324984133243561,0.1,8,5,1.971584398
50,0.004994852567972668,0.1,8,6,3.782802152
50,0.0055109247673206276,0.1,8,7,4.670934085
50,0.005187034606933594,0.1,8,8,3.909579292
50,0.004817312643296967,0.1,8,9,4.810175161
50,0.0053352355957031255,0.1,8,10,3.457950173
50,0.005141031642528571,0.1,9,1,3.454102196
50,0.005146895238206906,0.1,9,2,4.826147557
50,0.005503973494291853,0.1,9,3,4.609531098
50,0.005688842021514336,0.1,9,4,6.896783347
50,0.005429543671198189,0.1,9,5,6.448695137
50,0.0053856535358706775,0.1,9,6,6.833792735
50,0.00558106428224484,0.1,9,7,5.433241032
50,0.004707276821136475,0.1,9,8,4.132192911
50,0.005218755363571714,0.1,9,9,6.919204193
50,0.005519986152648926,0.1,9,10,3.760411052
50,0.005377995170677477,0.1,10,1,5.397996901
50,0.005906576339899104,0.1,10,2,3.82289479
50,0.005086455474499121,0.1,10,3,3.425587743
50,0.005282799247652292,0.1,10,4,2.913551658
50,0.0054605696350336075,0.1,10,5,2.696118551
50,0.005328875845022754,0.1,10,6,6.851023754
50,0.004723920972648817,0.1,10,7,4.954928458
50,0.0056192874908447266,0.1,10,8,3.564318039
50,0.005530612662359493,0.1,10,9,4.133734566
50,0.0057828426361083984,0.1,10,10,2.965076758
50,0.0054799691011452375,0.1,11,1,4.827779951
50,0.004695222304396122,0.1,11,2,4.155450234
50,0.0055727908673531635,0.1,11,3,5.111878583
50,0.005337019814760424,0.1,11,4,5.028823926
50,0.0057915132492780685,0.1,11,5,3.625818976
50,0.005426867374806709,0.1,11,6,4.621849313
50,0.005266227497335865,0.1,11,7,6.190167662
50,0.004989767074584961,0.1,11,8,4.185880414
50,0.005545262109395174,0.1,11,9,3.713321928
50,0.005366992950439454,0.1,11,10,4.447933474
50,0.00585299647880334,0.1,12,1,4.073719099
50,0.005396453114700139,0.1,12,2,3.539800291
50,0.0050313900684193546,0.1,12,3,5.01148985
50,0.005359447004593676,0.1,12,4,4.36916967
50,0.00592225044965744,0.1,12,5,3.08389444
50,0.005408621409856715,0.1,12,6,3.906385713
50,0.005511241134756953,0.1,12,7,3.621396821
50,0.004707276821136475,0.1,12,8,2.377968309
50,0.005620198083846461,0.1,12,9,2.707455768
50,0.004668331146240234,0.1,12,10,1.517858678
50,0.0056830150912195905,0.1,13,1,3.042903431
50,0.005227982600698753,0.1,13,2,2.757733361
50,0.0055676429468200775,0.1,13,3,7.724170899
50,0.005375248234486209,0.1,13,4,4.686468111
50,0.005600276926998049,0.1,13,5,4.173522539
50,0.005396932282746703,0.1,13,6,4.60771903
50,0.004758727000412843,0.1,13,7,2.743265363
50,0.005491822957992554,0.1,13,8,2.544527411
50,0.005685769602734739,0.1,13,9,2.943366798
50,0.005519986152648926,0.1,13,10,3.680172896
50,0.005507400086205911,0.1,14,1,3.764903514
50,0.004958052146992679,0.1,14,2,3.499112144
50,0.005675731482639443,0.1,14,3,6.579957227
50,0.005282799247652292,0.1,14,4,4.153141508
50,0.005019869422540069,0.1,14,5,3.343301058
50,0.005532951483448838,0.1,14,6,3.159349291
50,0.0055066141912146396,0.1,14,7,3.144219982
50,0.0057057380676269545,0.1,14,8,2.726406313
50,0.004766977972935859,0.1,14,9,2.739306516
50,0.005292177200317383,0.1,14,10,2.325839588
50,0.0053537291134499836,0.1,15,1,2.847212733
50,0.005036408130259597,0.1,15,2,3.27533004
50,0.00533786667511729,0.1,15,3,7.498908132
50,0.005007653453503735,0.1,15,4,5.749998648
50,0.005581593140959738,0.1,15,5,3.800133524
50,0.005445622488936633,0.1,15,6,3.770259495
50,0.005613804692645919,0.1,15,7,4.351350052
50,0.005298185348510743,0.1,15,8,2.477758529
50,0.005698678397073113,0.1,15,9,3.27860414
50,0.0056192874908447266,0.1,15,10,2.321223337
50,0.005122669315162767,0.1,16,1,3.426275493
50,0.005524969774090375,0.1,16,2,13.272215181
50,0.005763267631231205,0.1,16,3,4.908616621
50,0.0055314861238002794,0.1,16,4,3.341597456
50,0.005219347258389462,0.1,16,5,4.090857576
50,0.005485674808181537,0.1,16,6,3.751600996
50,0.005442085509276736,0.1,16,7,2.689353418
50,0.005565047264099121,0.1,16,8,3.038331648
50,0.005470731261190189,0.1,16,9,2.833234482
50,0.005187034606933594,0.1,16,10,2.021412505
50,0.005115432626352161,0.1,17,1,3.298688617
50,0.005339903410911247,0.1,17,2,4.938874937
50,0.005716714755999538,0.1,17,3,5.533608433
50,0.0055295881793426815,0.1,17,4,4.904676403
50,0.004862844944000244,0.1,17,5,2.98671611
50,0.005396932282746703,0.1,17,6,3.586188745
50,0.005518216034732403,0.1,17,7,4.300122106
50,0.005438281595706939,0.1,17,8,2.656364831
50,0.004819453730096118,0.1,17,9,4.27952715
50,0.0053352355957031255,0.1,17,10,2.231972014
50,0.005234459443907954,0.1,18,1,5.459138788
50,0.005202276256394357,0.1,18,2,6.696029316
50,0.005603195917620079,0.1,18,3,6.952937617
50,0.0056467254180461186,0.1,18,4,5.085834203
50,0.0052811146815656684,0.1,18,5,5.404931192
50,0.005354071090546651,0.1,18,6,5.52347095
50,0.004723649800560538,0.1,18,7,3.858832681
50,0.006055086851119995,0.1,18,8,3.18692571
50,0.004865485769729935,0.1,18,9,3.107993649
50,0.005021095275878906,0.1,18,10,2.990498888
50,0.0057752237805969876,0.1,19,1,4.578744875
50,0.0058908254589303466,0.1,19,2,7.805487401
50,0.005678966755578741,0.1,19,3,5.929496713
50,0.004444944206625225,0.1,19,4,4.646290744
50,0.0051287817768752575,0.1,19,5,4.980604475
50,0.005408621409856715,0.1,19,6,5.296800833
50,0.0055184224363618965,0.1,19,7,5.108640538
50,0.00500178337097168,0.1,19,8,2.987352182
50,0.004873516802344062,0.1,19,9,3.472974922
50,0.0057828426361083984,0.1,19,10,3.165901999
50,0.005619562466991093,0.1,20,1,5.652567331
50,0.0054156103289348945,0.1,20,2,8.295729698
50,0.005063032060285575,0.1,20,3,10.820341489
50,0.005082052876241506,0.1,20,4,6.887860318
50,0.00540601322427392,0.1,20,5,5.901487031
50,0.0052833005196510855,0.1,20,6,5.752542934
50,0.005219756684300877,0.1,20,7,6.611603663
50,0.005436294525861739,0.1,20,8,5.06478315
50,0.004819453730096118,0.1,20,9,8.085461033
50,0.006008148193359375,0.1,20,10,2.566527615
