k,time,failprob,adjustedAlpha
20,0.765063351,0.10340000000000005,3.3363997936248786E-4
30,1.34005366,0.09670000000000001,1.4600742640294456E-4
40,0.978191334,0.10150000000000003,1.0961081134155391E-4
50,1.543713777,0.10470000000000002,8.21914232801646E-5
60,4.653288306,0.0998,4.154216001671547E-5
70,7.427141101,0.10309999999999997,3.4270671985747736E-5
80,14.836931656,0.10109999999999997,2.709918735939781E-5
90,26.761970189,0.10270000000000001,2.37117889088623E-5
100,41.490222966,0.10399999999999998,1.936462763387878E-5
110,53.198407,0.09619999999999995,1.4327234566735574E-5
120,97.812338394,0.10429999999999995,1.4289448257063905E-5
